Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Colombia/VAC-ICE-SCOV-266/2021.716/21H-Mu,2021.716,Colombia,21H-Mu,GISAID
hCoV-19/PuertoRico/PR-CDC-ASC210061431/2021.355/21H-Mu,2021.355,PuertoRico,21H-Mu,GISAID
hCoV-19/Panama/GMI-PASEQ436/2021.667/21H-Mu,2021.667,Panama,21H-Mu,GISAID
hCoV-19/Mexico/QUE-InDRE_FB18356_S4282/2021.478/21H-Mu,2021.478,Mexico,21H-Mu,GISAID
hCoV-19/Venezuela/Por8406/2021.651/21H-Mu,2021.651,Venezuela,21H-Mu,GISAID
hCoV-19/Colombia/DC-LSPSDS-VG-845627/2021.552/21H-Mu,2021.552,Colombia,21H-Mu,GISAID
hCoV-19/Chile/RM-132970/2021.585/21H-Mu,2021.585,Chile,21H-Mu,GISAID
hCoV-19/Chile/AN-ISPC-131692/2021.563/21H-Mu,2021.563,Chile,21H-Mu,GISAID
hCoV-19/Bolivia/LaPaz_GM3-1/2021.418/21H-Mu,2021.418,Bolivia,21H-Mu,GISAID
hCoV-19/Bolivia/INLASA-Pt16289/2021.779/21H-Mu,2021.779,Bolivia,21H-Mu,GISAID
hCoV-19/USA/OR-OSPHL01412/2021.555/21H-Mu,2021.555,USA,21H-Mu,GISAID
hCoV-19/Colombia/DC-INS-VG-5298/2021.423/21H-Mu,2021.423,Colombia,21H-Mu,GISAID
hCoV-19/Canada/NL-NML-2419/2020.654/20A,2020.654,Canada,20A,GISAID
hCoV-19/Afghanistan/IMB07958/2020.449/20A,2020.449,Afghanistan,20A,GISAID
hCoV-19/SaudiArabia/KAUST-MADINAH1688/2020.643/20A,2020.643,SaudiArabia,20A,GISAID
hCoV-19/Haiti/49210196/2020.381/20A,2020.381,Haiti,20A,GISAID
hCoV-19/Venezuela/NE064/2020.706/20A,2020.706,Venezuela,20A,GISAID
hCoV-19/TrinidadandTobago/5374/2021.067/20A,2021.067,TrinidadandTobago,20A,GISAID
hCoV-19/Venezuela/Por362/2020.925/20A,2020.925,Venezuela,20A,GISAID
hCoV-19/Colombia/TOL-INS-FLUCOV-TO-0122/2020.835/20A,2020.835,Colombia,20A,GISAID
hCoV-19/Lebanon/QIB-12/2020.993/20A,2020.993,Lebanon,20A,GISAID
hCoV-19/Morocco/FMP-88/2021.018/20A,2021.018,Morocco,20A,GISAID
hCoV-19/Colombia/AMA-GUR-06761/2020.332/20A,2020.332,Colombia,20A,GISAID
hCoV-19/Italy/LAZ-OPBG_114/2020.428/20A,2020.428,Italy,20A,GISAID
hCoV-19/Belarus/ChVir21897/2020.818/20A,2020.818,Belarus,20A,GISAID
hCoV-19/Colombia/un-INS-VG-197/2020.63/20A,2020.63,Colombia,20A,GISAID
hCoV-19/Colombia/COR-U14/2021.149/20A,2021.149,Colombia,20A,GISAID
hCoV-19/Canada/ABPHL-02380/2020.99/20A,2020.99,Canada,20A,GISAID
hCoV-19/Canada/NL-NML-5801/2021.007/20A,2021.007,Canada,20A,GISAID
hCoV-19/Canada/NL-NML-3103/2020.878/20A,2020.878,Canada,20A,GISAID
hCoV-19/Canada/BC-BCCDC-27254/2021.136/20A,2021.136,Canada,20A,GISAID
hCoV-19/Canada/ABPHL-10876/2021.226/20A,2021.226,Canada,20A,GISAID
hCoV-19/Canada/BC-BCCDC-180930/2021.188/20A,2021.188,Canada,20A,GISAID
hCoV-19/Italy/LAZ-AMC-20081849759-DS/2020.63/20A,2020.63,Italy,20A,GISAID
hCoV-19/SaudiArabia/KAIMRC-0000026/2020.255/20A,2020.255,SaudiArabia,20A,GISAID
hCoV-19/Afghanistan/IMB07964/2020.411/20A,2020.411,Afghanistan,20A,GISAID
hCoV-19/SaudiArabia/KAUST-MADINAH644/2020.305/20A,2020.305,SaudiArabia,20A,GISAID
hCoV-19/Indonesia/JK-LIPI033/2020.684/20A,2020.684,Indonesia,20A,GISAID
hCoV-19/India/AP-CS0362/2020.507/20A,2020.507,India,20A,GISAID
hCoV-19/Indonesia/JI-RSDS-RCVTD-UNAIR-33-C/2020.48/20A,2020.48,Indonesia,20A,GISAID
hCoV-19/Malaysia/UNIMAS-B084/2020.955/20A,2020.955,Malaysia,20A,GISAID
hCoV-19/Algeria/100756/2020.783/20A,2020.783,Algeria,20A,GISAID
hCoV-19/Algeria/131466/2020.911/20A,2020.911,Algeria,20A,GISAID
hCoV-19/Vietnam/PY-57/2020.939/20A,2020.939,Vietnam,20A,GISAID
hCoV-19/France/ARA-CFD200059659101/2020.865/20A,2020.865,France,20A,GISAID
hCoV-19/Switzerland/SO-ETHZ-520232/2020.903/20A,2020.903,Switzerland,20A,GISAID
hCoV-19/Curacao/CW-RIVM-13012/2021.073/20A,2021.073,Curacao,20A,GISAID
hCoV-19/USA/NJ-CDC-LC0003493/2021.029/20A,2021.029,USA,20A,GISAID
hCoV-19/Switzerland/SO-ETHZ-490410/2021.097/20A,2021.097,Switzerland,20A,GISAID
hCoV-19/Netherlands/UT-RIVM-12906/2021.1/20A,2021.1,Netherlands,20A,GISAID
hCoV-19/Australia/NSW1200/2020.851/20A,2020.851,Australia,20A,GISAID
hCoV-19/Hungary/UD-94339/2020.769/20A,2020.769,Hungary,20A,GISAID
hCoV-19/Hungary/HM-0202-23/2021.089/20A,2021.089,Hungary,20A,GISAID
hCoV-19/Slovakia/CeMM4272/2021.089/20A,2021.089,Slovakia,20A,GISAID
hCoV-19/Austria/CeMM5632/2020.734/20A,2020.734,Austria,20A,GISAID
hCoV-19/England/BRIS-18533FB/2020.264/20A,2020.264,England,20A,GISAID
hCoV-19/Pakistan/NIH-27/2020.898/20A,2020.898,Pakistan,20A,GISAID
hCoV-19/Pakistan/AFIP-B1-S44/2020.87/20A,2020.87,Pakistan,20A,GISAID
hCoV-19/UnitedArabEmirates/4287/2020.988/20A,2020.988,UnitedArabEmirates,20A,GISAID
hCoV-19/PapuaNewGuinea/PNG182/2021.155/20A,2021.155,PapuaNewGuinea,20A,GISAID
hCoV-19/Vanuatu/VAN002/2021.232/20A,2021.232,Vanuatu,20A,GISAID
hCoV-19/Indonesia/KR-BTM-LIPI-NIHRD-0130/2021.374/20A,2021.374,Indonesia,20A,GISAID
hCoV-19/SolomonIslands/SOL011/2021.232/20A,2021.232,SolomonIslands,20A,GISAID
hCoV-19/PapuaNewGuinea/QLD-PNG-60/2021.245/20A,2021.245,PapuaNewGuinea,20A,GISAID
hCoV-19/Timor-Leste/TL1019/2021.105/20A,2021.105,Timor-Leste,20A,GISAID
hCoV-19/Timor-Leste/TL389/2021.311/20A,2021.311,Timor-Leste,20A,GISAID
hCoV-19/Timor-Leste/TL732/2021.47/20A,2021.47,Timor-Leste,20A,GISAID
hCoV-19/Timor-Leste/TL685/2021.453/20A,2021.453,Timor-Leste,20A,GISAID
hCoV-19/Timor-Leste/TL687/2021.453/20A,2021.453,Timor-Leste,20A,GISAID
hCoV-19/Fiji/FJ664/2021.081/20A,2021.081,Fiji,20A,GISAID
hCoV-19/Turkey/Ankara_GUMV_42541/2020.813/20A,2020.813,Turkey,20A,GISAID
hCoV-19/Pakistan/NIH-49/2020.775/20A,2020.775,Pakistan,20A,GISAID
hCoV-19/Pakistan/NIH-36/2021.012/20A,2021.012,Pakistan,20A,GISAID
hCoV-19/Pakistan/NIH-589048X/2021.108/20A,2021.108,Pakistan,20A,GISAID
hCoV-19/Bahrain/460056646/2020.947/20A,2020.947,Bahrain,20A,GISAID
hCoV-19/Canada/AB-ABPHL-16785/2020.802/20A,2020.802,Canada,20A,GISAID
hCoV-19/Bhutan/RCDC0014-SV200570/2020.638/20A,2020.638,Bhutan,20A,GISAID
hCoV-19/NewZealand/20CV0063/2020.466/20A,2020.466,NewZealand,20A,GISAID
hCoV-19/Bhutan/RCDC0023-SV200579/2020.474/20A,2020.474,Bhutan,20A,GISAID
hCoV-19/Bhutan/RCDC0020-SV200576/2020.682/20A,2020.682,Bhutan,20A,GISAID
hCoV-19/Australia/SA0488/2020.622/20A,2020.622,Australia,20A,GISAID
hCoV-19/Nepal/NPHL-S-795/2021.738/20A,2021.738,Nepal,20A,GISAID
hCoV-19/Australia/NT149/2021.232/20A,2021.232,Australia,20A,GISAID
hCoV-19/HongKong/HKU-201216-368/2020.911/20A,2020.911,HongKong,20A,GISAID
hCoV-19/HongKong/CUHK-NC9569/2021.092/20A,2021.092,HongKong,20A,GISAID
hCoV-19/HongKong/HKU-123/2021.171/20A,2021.171,HongKong,20A,GISAID
hCoV-19/Canada/ON-PPS-00148/2020.898/20A,2020.898,Canada,20A,GISAID
hCoV-19/Iran/K022/2020.728/20A,2020.728,Iran,20A,GISAID
hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-1018/2021.171/20A,2021.171,India,20A,GISAID
hCoV-19/Finland/29SS5E7/2020.745/20A,2020.745,Finland,20A,GISAID
hCoV-19/Finland/26LS5CD4/2020.818/20A,2020.818,Finland,20A,GISAID
hCoV-19/Iran/GRC-9842/2020.531/20A,2020.531,Iran,20A,GISAID
hCoV-19/Afganistan/IMB15487/2021.056/20A,2021.056,Afganistan,20A,GISAID
hCoV-19/Myanmar/DSMRC-006/2021.023/20A,2021.023,Myanmar,20A,GISAID
hCoV-19/Yunnan/02/2020.701/20A,2020.701,Yunnan,20A,GISAID
hCoV-19/Myanmar/DSMRC-008/2021.023/20A,2021.023,Myanmar,20A,GISAID
