Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR234637,ERR234637,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR230008,ERR230008,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234608,ERR234608,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067765,ERR067765,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108489,ERR108489,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144628,ERR144628,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133944,ERR133944,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144611,ERR144611,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234602,ERR234602,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137275,ERR137275,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234574,ERR234574,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133953,ERR133953,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144553,ERR144553,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137272,ERR137272,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR117460,ERR117460,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144548,ERR144548,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144562,ERR144562,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067623,ERR067623,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234596,ERR234596,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR227995,ERR227995,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108467,ERR108467,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144561,ERR144561,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133839,ERR133839,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144575,ERR144575,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228013,ERR228013,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133931,ERR133931,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234573,ERR234573,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144574,ERR144574,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067687,ERR067687,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144620,ERR144620,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133908,ERR133908,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228042,ERR228042,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228050,ERR228050,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228012,ERR228012,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR227987,ERR227987,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133957,ERR133957,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137260,ERR137260,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229998,ERR229998,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067660,ERR067660,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234563,ERR234563,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067619,ERR067619,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137246,ERR137246,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133805,ERR133805,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067618,ERR067618,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234606,ERR234606,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228003,ERR228003,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067622,ERR067622,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133919,ERR133919,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133910,ERR133910,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067709,ERR067709,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144636,ERR144636,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067653,ERR067653,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137223,ERR137223,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067717,ERR067717,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228043,ERR228043,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108507,ERR108507,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067621,ERR067621,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067630,ERR067630,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144619,ERR144619,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067643,ERR067643,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229984,ERR229984,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067627,ERR067627,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067581,ERR067581,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133927,ERR133927,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229978,ERR229978,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234575,ERR234575,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133844,ERR133844,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR230000,ERR230000,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108498,ERR108498,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108515,ERR108515,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158602,ERR158602,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR117462,ERR117462,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229947,ERR229947,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133867,ERR133867,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133935,ERR133935,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229997,ERR229997,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108510,ERR108510,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133984,ERR133984,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108469,ERR108469,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067605,ERR067605,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144558,ERR144558,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229961,ERR229961,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158570,ERR158570,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229957,ERR229957,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133891,ERR133891,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234664,ERR234664,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133925,ERR133925,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133950,ERR133950,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133898,ERR133898,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137285,ERR137285,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229977,ERR229977,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067746,ERR067746,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234619,ERR234619,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144550,ERR144550,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR230010,ERR230010,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
